,date,newspaper_id,newspaper,article_id,avg_line_width,min_line_width,max_line_width,line_width_range,avg_line_offset,max_line_offset,min_line_offset,title,text,genre
0,1883-12-14,TS,Star,27,492.1785714,162,524,362,30.32142857,343,12,JUVENILE CRIMINALS.,"TO TMI IDITOS O» TXI STAB. Bib,—la y«u* issue • few days sinoe wa» an article on the juvenile criminals who have lately been brought before the Magistrate, and who evidently were not luoh aa would be considered aegleoted children. It aeemi the faihion now for children and young people to be allowed to muoh tkeir own way that one oanno*. wonder at tbe unhappy results in ■o many cases. Why do not parent* put more restraint on them instead of frequently thinking it too muoh trouble, and allowing things to go on until it is too late. The scenes in the streets of this city on Saturday nights are quite painful j wall-dressed girl* without a proper esoorfc parading the town, staring at and after young men, and behaving: altogether in anything but the right way. if suoh is their behaviour what can we expeot from boys t Do the parent! of those girls ever think they are allowing thorn to go to ruin as fast as they oanf We know we oannot make our children all we would like them to be, but oertainly it is onr duty to exercise parental oontrol. If you think this worth a spaoe in tbt> paper will you kindly put it in.- 1 am, to., A MOTHfIB.",LetterToEditor
1,1889-11-07,OW,Otago Witness,137,309.28,152,412,260,75.8,400,50,"GOSSIPING MAGGIE,","Your tongue unruly is, dear friend; Try ana curb it in, Don't let it slander honest folk;, It really is a sin. Just mind your own affairs, Leave church and friends alone; Living in a house of glass, Do not cast a stone. Your neighbours never give offence, Your minister's good and kind- Listening to his sermons Should surely change your mind. He tries to do his very best To draw the people in; It's not his fault if you think The church is getting thin. You never can be happy If you don'fc let folks alone ; Your life will be a dreary one, Forsaken and forlorn. Pray for a heart that's pure And free from evil thought, Then all your friends will love you, And respect jou as they ought. —Caversham.",Poetry
2,1886-01-30,ESD,Evening Star,48,450.2702703,91,474,383,6.594594595,355,0,A Father's Lecture.,"By Bill Nye, My Dear Son : Your mother and I was glad to get your last letter and to hear that you was well, though both of us think it was a little tough for you to take up so much of it, correcting our spelling and grammar. Your mother and 1 don't brag on our "" edgeucation,"" but aj common, low-browed parents, we aimed to be equaled by few and excelled by none. When I was young parents didn't go without clothes so that their children could get an ""edgeucation'' as they do nowadays. My folks was poor, thundering poor, you might say. It was some time before they could afford the luxury of a Webster's spelling-book for me, and then allow me to walk three miles in a tow shirt and a pair of linsey-woolsey pants to the hot-bed of learning. I hadn't been in the "" edgeucation"" business long before on accident happened to my library. The school-house wasn't rigged up with a furnace downstairs and them iron refrigerators in every room so that you can turn the warm off or on as you want to, but it was plain. It cost probably 47 dollars—including a wooden button on the outside door, which was supposed to hold the blamed thing shut when school was out at night. But one night in the early history of my junior year, as you would call it, the front door of the school-house got unbuttoned, and a half starved two-year-old steer wandered in there and spent the night. He swallowed my text-book while thinking over his past life, and so kind of shet off my currikulum, as you would say. I suppose I ought to have borrowed a copy of the Koran or the Illyad or some other big high-priced book, and laid down on my stummick and committed it to memory by the light of a pine knot, but at that time I hadn't read the rules for self-made men, or "" Every Man His Own Self-Made Man,"" so I didn't know what to do in order to get an "" edgeucation,"" or I would have got it or bust. I hate to have my children ashamed of me, so does your mother. That's all we care about. I don't care a cuss for an "" edgeucation"" for myself, but it grinds us to have you ashamed to show our letters to the other boys. That's why I want you to git so you kin write a good hand and use big words that it would take me a year to think of. Then your, children won't be ashamed of you when you come to be a father or a mother yourself, George. We'd like tip-top to come down this spring and see you, your mother and I, and listen to your valtudinarian, as you call it, and we could, too, only very likely we'd give the wholo blamtd thing away before we got through and make you so shamed you'd wish you was dead. So it's probably better for us to stay here and run the farm and keep you there as long as there's a shot left, for I want you to get your skin so full of knowledge that folks won't know what in Sam Hill you're talking about half the time. People here have kind of throwed it out from time to time that I lacked culture, and I admit that I have tried to use language on several occasions that I wasn't entirely familiar with, but that's neither here nor there. I want you to come home with words on you're tongue's end that will make the neighbor's heads ache. Some of 'em have allowed that I better have you come home and help support the family, but don't you worry about the family. You are there to get as much knowledge for the money as you can. I want you to be so that when you come home you can get the square root of a haystack In two minutes with your eyes shet, or talk to a Hebrew, or Mongo lian, or an agnostic in his own mother tongue, and so all-fired slick that he will think you was born right there yourself. Your mother is well barrin' a bone-felon on her thumb, which is not a very good thing for a woman of her age trying to ob her own work. She sends her earnest love to you, George, and she says she thinks of you night and day, and that no work is too tough that heirs to kind of lift her dear boy out of the low spear to which our poverty and bad spellin' has kind of sib* jected us to. As what's his name who run for president said, I guess you'd better burn this letter, George, and then your classmates can't U3e it again you. Enclosed you will find a postoffice money order for §2 38 to get the youker deck which you so much need. I don't know as I've spelled youker right, but you will be able no doubt to gather the idea. Ever your affectionate Father. P.S.—Next week I will tell you about a church sociable which we just had here at our house.",Fiction
3,1882-03-14,CROMARG,Cromwell Argus,25,283.2244898,189,409,220,11.73469388,41,0,Selected Poetry.,"THE ""COMING MA N."" A pair of very chubby legs, Encased in scarlet hose ; A pair of little stubby boots With rather doubtful toes ; A little kilt, a little coat, Cut as a mother can— And lo ! before us strides in state, The future "" coming man."" His eyes perchance will road the stars, And search their unknown ways ; Perchance the human heart and soul Will open to their gaze ; Perchance their keen and flashing glance Will be a nation's light— Those eyes, thai now are wistful bent On some "" big fellow's"" kite. That brow, where mighty thoughts will dwell In solemn secret state, Where fierce Ambition's restless strength Shall war with future fate ; Where Science from now hidden cares New treasures shall outpour— 'Tis knit now, with a troubled doubt, Are two, or three cents, more? Those lips that, in coming years, Will plead, or pray, or teach ; Whose whispered words on lightning flash, From world to world may reach ; That sternly grave may speak command Or, smiling, win control— Are coaxing now for ginger-bread With all a baby soul. Those hands—those little busy hands— So sticky, small, and brown ; Those hands, whose only mission seems To tear all order down— Who knows what hidden strength may lie Within their chubby grasp, Though now 'tis but a taffy-stick In sturdy hold they grasp ? Ah, blessings on those little hands, Whose work is yet undone ! And blessings on those little feet, Whose race is yet unrun ! And blessings on the little brain That has not learned to plan— Whate'er the Future holds in store, God bless the ""coming man.""",Poetry
4,1885-12-12,TT,Tuapeka Times,14,514.6888889,193,549,356,10.44444444,182,0,MR M'FARLANE IN EXPLANATION.,"(To the Editor.) SlB, — I did not intend troubling you further re Hospital matfcerß, but Beeing "" Fair-play's"" tetter (which I consider an insult to the true meaning of the signature) I will gire you briefly the interpretation of my being clo-e to the ward — merely the distance from the main entrance to ths female ward. If you read my last, I am sure, Sir, you will not find any in* sinuatious about the warder being under the influence of drink. I was not the writer or originator of the letter signed ""Liberty m Religion."" Had the writer enquired, I should gladly have explained matters to avoid going into print. If Warder Duffy did what he was told he would have carried out the Doctor's instructions on the 29th of last month — viz., to prohibit all visitors. I can supply you with the names of parties admitted after my refusal. As I have not the time, nor do I desire to enter into a long controversy on the subject, I shall take no more notice of anonymous letters. — I am, &c., P. M'Farlane. ( To the Editor.) Sib, — I had no idea that when I wrote my firafc letter that it would create such a ""slOrm in a teapot."" I purposed taking no notice of ""Trulh in Religion,"" as his letter was not written to tl»e point 5 but seeing that another writer, signing Himself "" Fai--play,"" designates my lelter as "" that most untruthful state ment,"" I will therefore answer "" Truth in Religion "" and "" Fair-play "" together. I made no charge in my letter. I only asked if it (the report) was true ; and if true (which I am now half inclined to think it was) hoped that such a thing would not again occur. I would advise "" Truth in Religion "" and "" Fair play,"" when they take up the cudgels to criticise another writer, to stick to what the writer cays, and not allow their fertile brains to manufacture assertions that bare never been made,— l am, &c, Libeety in Religion.",LetterToEditor
5,1876-04-27,ODT,Otago Daily Times,4,388.6666667,221,481,260,6.0,18,0,MARRIAGE.,"On the 20th April, at Porto>ello, by tho Rev. Dr Stuart, William Staveiy, Esq., to Helen Louisa Coneys, both of Dunedin.",FamilyNotice
6,1887-01-28,OW,Otago Witness,129,404.6857143,59,572,513,58.02857143,279,0,A TIRED HOUR.,"1 wish!—"" and then I lean my head upon my hand, My aching head! A little girl looks up at me and smiles : "" Mother, you said ■ You wish— you wish for what ?"" ""Ah, child, for something that I have not got."" "" Something that I can give you?"" asks she then, And her grey eyes look for my answer ; then she turns away Unto her toys, And sing 3 with rosy face : "" Life is no dream, And things are not— are not the things they seem."" Not what they seem ! Ah, no ; the poet's fight Is not for fame. It seems to those who read he writes To make a namo. White in hard hours he toils with throbbing head To earn his own little children's bread. Not what they seem ! The actor on the stage Laughs and makes tun. The critic coldly looks ; and he who laughs When play is done, Goes home to fight with real trial and woe ; And what, of this does any mortal know ? Not what they seem) The preacher boldly speaks Words grand and high 1 Hib soul seems all on fire and strong. When none are by no bows his head, weary and faint and i.l, While sorrow's tears between his fingers steal. 1 ' I wish !— "" The pen and paper are pushed by, ,„ And my tired thought Wanders no fiction's paths, no fancied way, The way it ought ; Hut ba<Jk— back over long, long years my feet have strayed, To days of childhood's ease, when I too played. All in a vision come the summer'? glow, _. Thp green, of trees, j.ne garden blossoms, the sweet thyme and rose m, , Laden witli bees •iiiat make a murmur— not like workmen pressed, But more like music of content and rest. I see the church— the ivy nestling close, m, . , And all in white me choristers, with faces in their youth , [aA( , , Like spirits bright. I Bee friend after friend in stall and pew, «ow near Heaven was I for all to faith it true ! "" I wish !— "" and then again I pause, T„ . . , _ I know not what ; *vt isn ! I only know that faith (r. ....  To-day is not ihe faith of long ago. Too much of care •turns hope to patience which is half despair. I see the quiet graves where some are sleeping ; k  How quiet they he ! ana to the questions of unquiet souls p  Make no reply. Wm m M ey bufc B P eak -what secret would they tell ; « ovid they make answer "" Here 'tis well; all woll 1"" I wish •— "" and frienda of other years t »,„ . Kise to my view ; i Hear again their thoughts and see their work, a,,-, .. And know them true, Ana think how sad and strange that those we loved bo much saould be beyond cur voice, our look, our touch. Ufe turns Its wheel, and scatters on the stream nm i A silver spray Uf living, loving, working souls ♦ . . Which melt away into the etream of time, with rush and sweep ; *ne stream rolls on to meet the ocean deep. Eternity I Oh, on tliy golden strand ' ' - Thy dim mysterious shore, Shall we stand face to face with those Long lost before ? Wil) all things that oppress us and perplex, Cease to be mystery and thus cease to vex ? Shall we for ever be unanswered ? Or in a dream Vainly clutch shadows that are not The things they seem ? Yea, not for this we spend our mind and-atrength, The load must end in our soul's home at length l "" I wish !— * How blind we are at best, We cannot see E'en that to wish for and be sure T'wera best to be ; After long effort, shall life Beud no reply, But "" Tired workman wish that thou may'st die !"" Nay, nay too young ! The heart's high hopes Unspoken Burns for fulfilment ! Though the work- To pieces broken— Of yeirs lies scattered, still the soul cries "" Wait And build again, it canr.ot be too late."" "" I wish !— "" Well, never mind, My child is calling ! And in her silvery tones I hear a sound Before which falling Are walls of dread. Let all go by So that we are together— she and I !",Poetry
7,1886-01-30,ESD,Evening Star,50,440.5699482,38,475,437,6.204663212,181,0,REDBREAST.,"[By James Greenwood, the ""Amateur Casual.""] Tho Pig and Pullet is not tho most gentet 1 tavern to ba found east of_ St. Paul's, neither is it=) parlor patronised exclusively by polite company. But my object in visiting the place was not a'geuteelor a particularly polite one Queer customers was my quest, and a birdcag-:. maker the individual who had incited me to search for the sama at the public house in question His business premises are in Hare street, which is iu the immediate neighbor hood, aud our getting into conversation aro<e out of my calling there to nego tiate with him on behalf of a very young relative of mine for a iamily i]ians?on for white mica. The parlor of tho Pig and Pullet, though somewhat crooked, is capacious, and was at one time high in favor with the silk and vplvet weavers who hereabout are thickly colonised. It was something to be a weaver in those days. Spitalfields goods were at a premium and more in request than any other, and the men held the reins, and the mas>ers knuckled under. It was a grave offence against the work men's rules and regulations for a weaver to work on Mondays, and at holiday time—Whitsun or Easter—a master thought himself exceedingly lucky if his looms were kept idle no longer than three or four days in the week The Pig and Pullet was the meeting place for one of their couvivial club?, and on Saturday and Monday evenings the parlor was crowded with jolly fellows, each ""ood to spend his crown at the very least. There is a wof ul difference in these degenerate days; for a work in* weaver of that locality to spend a crown now would be to part with half a week's wages ; and if he ever locked in at the parlor of the Pig and Pullet on a Saturday night it would probably be to partake of a humble half-pint of fourpenny, which he would eke out to last him as long as he stayed. Now, as in the past, however, the tavern in question is a house of call for the ""fancy,"" especially for those whose hobby is singing birds. No doubt it is on that account that dew berry, the c;ige-maker, uses the Pullet as regularly as he does. There were a good many bird fanciers iu the parlor on tho evening I was there. You could not well mistake them. Each one brought in with him a cage con taining his heart's delight tied in a handkerchief, and this he hung on one of a range of mils placed there for the purpose, just over against the chair he Bit on. In some oases the bird cages were uncovered, in others they re mained muffled ; but apparently it made but little d fference to the feathered tenant. As soon as he was hung up and heard the others singing ho straightway joined in the already well-nigh deafening bird concert. •' But, speaking of queer customers,"" piesently remarked the talkative bird cage maker, ""the queerest that ever I came across is tho chap that is now just coming in at the door—Jarsper his name is—' Redbreast' we cM him"" The particularly "" queer customer "" nicknamed "" Redbreast,"" to whom my attention had been directed by the bird cage maker brought no cage in with him. Moreover, he was a sa-1 and un sociable looking individual, with short cropped hair, and with none of the bird like peikinesa that commonly distin guishes the "" fancier ""of low life Mr Glewbo ty and I were sitting at the end of the i oom where there were fewest people assembled, and the noise the birdtf hi tde was such that, speaking in a moderately Itw tone oE vt>ic?, there was not much danger of what we were talking about being overheard. i hazirded the conjecture that in what ever else tbe ""queerness"" of the in dividual alluded to might consist, he did not look the sort of person who could take delight in little finches. "" ITe is nob a fancier 1"" "" Well, Bpeaking in a general way,"" replud Mr Glewberry, ""he is not. You wouldn't rickon to call a man a fancier, anyway, who was sweet only on one bird, and that in a pccooliar sort of a way."" "" And what bird is that I'' "" The robin. That is the one he is nicknamed arter."" "" When you say that he is ' sweet' on that particular bird, you mean, I presume, that he admires it for its song before any other V The bird-cage maker smned to masticate my remark, together with the stem of his short clay pipe-, during several reflective moments, and then he Blowly made answer— "" Yes, no doubt that is the one view to take of it. But there are them who have known him longer than I have, and they think otherwise."" *' How otherwise V "" There aro grounds for their doing bo,"" continued Mr Glewberry, Bpeaking in a still lower tone, "" as, for instance, you'd nat'rally think that if a man liked a robin's song he would give that robin a chance of singing it "" "" No doubt that would be so."" •' But it isn't so. It is very well known and talked about th.it out of all the robins he's bought—and take all the year round, you might set the number down at least at six a week— he was never known to keep one for a matter of four-and-twenty hours, or to sell it again, or to do anything at all with it, if it comes to that."" "" But I don't understand—"" "" Being a total stranger, and never having clapped eyes on old Jarsper before iu your life, very likely not,"" Glewberry interrupted mo ; "" it *vould be a rum'un if you did. Nobody under stands it or can throw a light on it, not even the shoemaker, who lives in the front room, Jarsper occupying the back'un. He carn't throw alight on it"" "" Has the shoemaker to your know ledge been ques ioned on the subject 1"" "" * Did you ever hear a robin singing in Jarsper's room V I've asked him, and hia answer has br.en 'Never.' ' Did you ever see ono hanging up in his room?' I've further questioned him. 'l'll take my solemn oath,' aay3 he, 'that such a thing hain't happened onca in all the getting on for two yearß we have lodged in the same houf-e together.' Now what do you think of it?"" ""Only this,"" I replied, ""it must be a mistake as to Mr Jarsper's having a fancy for robins at all."" ""Then,"" asked Mr Glewherry, slap ping his leg, "" whut does ho buy 'r m fori"" ""You are sure, of course, that he does buy them 1 "" "" I've seen him buy dozens in this very room. He never misses, 'cept when he's hard up, and then, if one is offered to him he is the most miserable mau you ever see. He's that low spirited you c m't get a word out of him."" "" The bird-catchers who come here do a good trade with him 1"" "" They make a mark of him, sir There's never any call worth speaking of for robins. People are supen-ti tious about 'cm, and ihink they bring 'em bad luck, which so they do,"" said Mr Glowberry, thaking his head gravely; "" there's no mistake about that. I should reckon that there isn't one fancier in a half-dozen iu those parts, or in any other part, that couldn't tell you something about tho unluckiness of keeping caged robins— 'especially if they have been caught at mating time. Anyhow, the catchers are always glad to get rid of 'em at anything like a price, and Jarsper's price is sixpence. He isn't a man well up for money, but if it's the very last sixpence he's got that's how he'll lay it out if he's got the chance, He dou't want to borrow a cage to take a bird home in. He'll put it in a piper bag, and shove it in the bonom of his weskit as tender as though it was a babby, and that is the last anybody sees of it. Prom that minute it vanishes."" "" And how long has he been in the habit of making these strange pur chases 1"" "" Speaking 'cordin' to my own know ledge,"" replied the bird-cage miker, "" as long as I've knowed him, which is about two years. But I've been told 'hat he began it before that, when he lived out Hoxton way. I know a man who knows Jarsper well, and he te'ls me that he was took with what you may call his crankiness for redbreasts just at the time when first his wife and then their only young 'an died. If he'd been turned inside out he couldn't have become more altered than he was after that happened."" ""Altered for the better?"" A grim grin flitted over Mr Glew berry'a not particularly clean face as he niado answer : "" Well, 'cordin' as I've been given to understand, it would have took something uncommon power ful to have changed him for the wur, he being up till then just about as bad as they make 'em. ' Bully Jarsper,' they us""d to c*)l him,"" coutinued the bird-cage maker, speaking in a whisper, and glancing askance at the individual we were speaking of, and who was now placidly smoking his pips at the fur ther end of the room. "" He's a plas terer's) mould-maker, and could earn good money at one time of day, but he liked living on his wife's earniag-J rather than working, and was always drunk, and fighting, and in trouble with the police. I'm told he used to serve his wife cruel. She might have been alive now, veiy likely, if it hadn't bsen for him."" "" He didn't have a taste for robins at that time."" "" He was one of the sort, sir, who bragged that he didn't care for God, man, iior devil, a';d that will give you Li; measure. He robins now, though ; but wh.it he does with Vm after he's bought 'em is a corker."" "" PoiliMpa,"" 1 ventured, "" he has a taste for ihem in another w>y, and cooks and tats them."" The bird-cage maker laughed, "" i've heard some rummy sp-colla tions as to what hpcotuea of 'em, lu never one more unlikely than that of yours. Eat 'em ! Why, he's that tender in handling 'em you'd think he was afraid of brushing their feathers away. You ought to have seen a game I saw here atween him and a catcher over a rtdbreist, and you wouldn't suspect him of killing and eating 'em. He--J ar.;per I m<an —ain't long got over his illness through that affair. It wt-rry nigh settled him. He bruke a blood wessel."" "" HowT "" Well, it came about in this way. As I've already told you, having a robin, or p'r'aps two or three of 'em to sell, if a catcher knew where to find Jarsper, he'd wait on him. I've knowed him btfore now, when he's been with out a penny in his pocket, go out and pawn his silk neckhandkercher for a shilling rather than lose the offer cf a ouple. Wtli, the evening I'm speak ing of there wasn't many here, being Friday, when the money u scarce. Jarsper was here, though, and in comes a bird catcher, more than half drunk, with a robiu in a cige, and he ofl'ers it to Jarsper at the old price. But it happened that Jarsper had no money at all—fact, just before the man came in he had stuck up the price of a piut, promising to pay it next d»y."" "" But you were all friends here. Could not ho borrow that small sum of one of youl"" ""He trhd to borrow sixpence, but there wasn't one that was able to do it. So he says to the ca'cher: 'lt isn't the first time we've had a deal together. Let me hj ive the bird, and I'll pay you next time I see you.' But the other was a rough 'un, and he swore at Jumper for being a cause of disappoint ment to h'm. 'l've come half a-rnile to bring it,' he ' and if you want it you'll have to pay for it on the nail.' 1 1 don't want it without the money,' says Jarsper. l Keep it for us till to-morrow, and I'll buy and pay for it' But the catcher wouldn't hear of that I've brought it here to get rid of it, and t don't meant to take it away ag-xin,' he says. 'lf you won't buy it 1 shall wring its neck, which would be a pity,' he fays, ' for it's one of the prettiest 1 ever s<e.' "" Hearing this, Jarsper he pricked up his ears and came in a hurry across the room to look at it, and as he did so the redbreast began to flutter in itd cage just as though it knowed him, and to chirp up at him as though it understood what the chap had been saying about, ita neck being wrung if didn't buy it, and was asking him to pre went it. Leastways it rau t have been in some such light that Jarsper took it, for he says to the catcher, in a frightened sort of voice : 'Taint likely you mean it when you talk about kill ing it. You wouldn't be such a fool. Save it till the morning and I'll give you ninepence for it; or, look here,' ho says, taking out his pocket knife, which was a good 'un, 'tike this, and I'll give you ninepence back for it any time.' "" But the other wouldn't listen to anything but payment in ready money. As I've told you, he was hj ilf drunk, and one of the bullying sort, and he says : ' Are you going to have it and pay for it now, or am I to wring its neck and chuck it in the fireT It was rum to see the change that came into Jarsper's face then. It was just as though the mention of fire had burnt him, same us red-hot iron would. He made a snatch at the cage, but the other was too quick for him, and in his drunken passion he gives tho little cage one smashing blow wiih his greit fist, of course killing the redbreast in side, and then he catches it up and make? for the fireplace with it to do what he said he would. "" I believed then, and I believe now, that it was a narrow squeak of Jarsper murdering him. Ho still had in his hand the knife what he'd offered to pait with, and the big blade was open, and before the catcher could get to the fueplace, with it tight gripped in his Hit, and with such a cry as I never heard come out of a man's mouth, he makes a spring after him. But he hadn't got half across the room before down he sprawled headlong on to the floor; and them that helped him up found that he was bleeding from the mouth a precious sight more than if he hud only knocked himself in filling, And it was found that it was a wesfel he hj id brokn, and he was laid up with it for over two months. He hasn't got his strength back yet, aud some my he nev,',r will. He's 'bliged to walk with a stick anyhow, and some times he comes over so weak that he's glad if somebody will help him home."" (To be continued.)",Fiction
8,1887-01-28,OW,Otago Witness,133,276.1923077,102,366,264,113.3076923,441,4,A SONG.,"Be stlil my heart, be still, I only heard his name, And through my cheeks I felt The colour rush like flame ; Although he loves me not, I love him still the same. Him I should scorn and hate- He treated me so ill — Oh ! siir i\y this is Fate To love against my will ! Because I heard his name My heart is beating still. Be still my heart, be still ; Oh 1 could he only know The height of woman's love, The depth of woman's woe, He surely could not dare To love — and leave me so. Be still my heart, be afcill, I must forget the past, It was an idle dream - A dream too sweet to last. And I through life must feel Love's blighting, lightning blast. — Flkta, Dunedin.",Poetry
9,1897-04-22,OW,Otago Witness,214,395.6086957,2,547,545,81.19565217,579,-1,GOLDFIELD BALLADS.,"PETEII TO POLLY. All the bloke 3 may laugh and jeer, May say I'm off my chump ; Some day I'll lind one on the ear An 1 make tho beggar jump. With love for you my heart chock full is, There's no 6udi girl in all the gullies. You're always clean, you're always neat, You're always siugin"" gaily. You walk about on dancin' feet, You're growin' sweeter daily ; Your lips are red, your eyes are bright— You're just a picture of delight. I love to see you at a hop Hound the schoolroom waltzin' ; I'd never wish to see you stop, Your steps there are no faults in. You dance so smoothly an' so clever c With you I think I'd dance for ever* j I love to se? you at your home, So quiet, clean, and tidy; From such a home I'd never roans j From Saturday to Friday. i With such a wife to clean an' scrub Td find no comfort at a pub. Now, Polly, dear, why still delay? | With love my heart is swellin'. , Say just the word, an' any day— { I'll soon ruu up a dwellin'. * It won't bo grand with chairs an' stuff ■< T We'll furnish it with love enough. j I've waited long ; I'm gettin' weary, An' still my love grows stronger. < Coma, make your mind up, there's a dearie 1 For I can wait no longer. . The girls an' blokes may laugh an' chuff, | We'll have each other— that's enough. > ( An' now I'll end this ble j=ed letter, i ¥ov I'm no list at writin' ; With a spade 1 work much batter, A day's work I delight in. Good-bye, my darling ! bo still sweeter, An' say "" I will "" to your lovin' Peter. April 1897. -A. W. ; ""* i i",Poetry
